Job Title,Job ID,Time Posted,Posted,AI Recommendation,Process,AI Rating,AI Explanation,Type,Rate,URL,Full Description,Client Location,Lead Amount Spent,Project Length,Hours/Week,Scraped?
Make.com automation consultant,999,5/7/2025 2:09pm,7 mins ago,No,,5,"The job is located in Sweden, which is not a top priority location. It is an hourly job, not a fixed-price one. While the client has payment verified, a high amount spent, and a high rating of 4.98, the location and payment type do not align strongly with the user's preferences.",Hourly,$5.00,https://www.upwork.com/jobs/~021920194105364159537,,,,,,
Salesforce Developer,998,5/7/2025 1:59pm,17 mins ago,No,,4,"This job is for a Salesforce Developer, which is not directly related to business automation or the platforms the user specializes in. Although the job is located in the US, has verified payment, high spending, and top rating, the role itself does not align with the user's skills and preferences.",Hourly,$10.00,https://www.upwork.com/jobs/~021920191379839564204,,,,,,
Automation Developer – Data Cleanup &amp; CRM Workflow,997,5/7/2025 1:58pm,18 mins ago,Yes,X,10,"The job is a perfect match for your skills in business automation and involves working with Google Sheets and Google Apps Script. It is a fixed-price job located in the US, aligning with your preference. The client has verified payment, a high amount spent at $161K, and a high rating of 4.92, indicating reliability and a good client relationship historically.",Fixed,$2.00,https://www.upwork.com/jobs/~021920191087345580460,,,,,,
Amazon tracking number automation,996,5/7/2025 1:58pm,18 mins ago,Yes,X,9,"The job is located in the US, relates to business automation, has payment verified, a client with 4.99 rating, and $151K spent, indicating reliability and good payment history. Although it is hourly, it meets many top priorities.",Hourly,$10.00,https://www.upwork.com/jobs/~021920190926401588454,,,,,,
"Zapier Automation Expert – Integrate Google Forms, Google Drive, Pipedrive &amp; Outlook",995,5/7/2025 1:38pm,38 mins ago,Maybe,X,7,"The job is located in the US, which is a top priority. It is an hourly job and goes up to $70/hr, which is reasonable. The payment is verified with $28K spent and the client has a high rating of 5.0, meeting high priority criteria. However, the job requires Zapier expertise, not the specific platform skills the user is known for, such as Make.com or n8n, so it slightly misses the user's platform specialty.",Hourly,$35.00,https://www.upwork.com/jobs/~021920186332414337444,,,,,,
HubSpot CMS Expert Needed with Figma to Hubspot Experience,994,5/7/2025 1:22pm,54 mins ago,No,,3,"The job is located in the US, which is a high priority for location. However, it focuses on HubSpot CMS and Figma to HubSpot conversion, which does not align closely with the user's skills in business automation tools like Make.com, n8n, ClickUp, etc. The client has payment verified and a high rating, but the job does not match the user's expertise and preferred job type (business automation).",Hourly,$10.00,https://www.upwork.com/jobs/~021920182375756657170,,,,,,
Email Loader,993,5/7/2025 1:19pm,57 mins ago,No,,4,"The job is located in the US and has high payment verification and spending, which are positives, but it does not relate to business automation and is hourly, not fixed-price. It involves email-related content rather than automation systems.",Hourly,$20.00,https://www.upwork.com/jobs/~021920181551656122771,,,,,,
Google Sheets Expert Needed for Custom Calculator Development,992,5/7/2025 1:04pm,72 mins ago,Yes,X,9,"The job is in the United States, which is your top priority location. It involves Google Sheets, a key area of your expertise, and is related to business automation. The client has a very high rating of 4.99 out of 5 and the payment is verified with $11K spent. Although it is an hourly job, the potential match with your skills and preferences is high.",Hourly,$20.00,https://www.upwork.com/jobs/~021920177811831102513,,,,,,
Zapier sales workflow,991,5/7/2025 1:00pm,76 mins ago,Maybe,X,7,"Job is US-based with payment verified and $2K spent, high client rating of 5.0, aligning with user preferences. While not fixed-price, hourly rate is acceptable. Job involves automation, but using Zapier instead of user's core tools. Relevant but not ideal match.",Hourly,$10.00,https://www.upwork.com/jobs/~021920176778324261267,,,,,,
"Lead Verification Assistant (AI-Assisted) – Clean &amp; Validate 5,000+ Leads",990,5/7/2025 12:57pm,79 mins ago,No,,4,"The job is an hourly role not located in the US or UK, and it involves lead verification rather than business automation. The client has payment verified with a perfect rating and some history, but the overall fit is low given the user's skills and preferences.",Hourly,$10.00,https://www.upwork.com/jobs/~021920176142741380145,,,,,,
